Wall time,Step,Value
1542573221.4972634,194,0.32275640964508057
1542573225.0616877,389,0.43485575914382935
1542573228.5790558,584,0.48982372879981995
1542573232.058868,779,0.5233774185180664
1542573235.5633726,974,0.5440905690193176
1542573239.054367,1169,0.5726161599159241
1542573242.5598233,1364,0.5977964997291565
1542573245.9840105,1559,0.6153846383094788
1542573249.4677052,1754,0.6351362466812134
1542573252.9462996,1949,0.6498597860336304
1542573256.470802,2144,0.6668870449066162
1542573259.9213104,2339,0.6796274185180664
1542573263.430717,2534,0.6960336565971375
1542573266.805089,2729,0.7067508101463318
1542573270.3660612,2924,0.7176081538200378
1542573273.8141048,3119,0.7326522469520569
1542573277.263147,3314,0.7446514368057251
1542573280.6925542,3509,0.7559294700622559
1542573284.134916,3704,0.7658653855323792
1542573287.6347406,3899,0.7760617136955261
1542573291.0680876,4094,0.7834535241127014
1542573294.524778,4289,0.7876201868057251
1542573297.9456518,4484,0.7970953583717346
1542573301.3785818,4679,0.8095352649688721
1542573304.802979,4874,0.8080929517745972
1542573308.2984588,5069,0.8197916746139526
1542573311.7480376,5264,0.8233774304389954
1542573315.1396375,5459,0.8310496807098389
1542573318.5534074,5654,0.8353365659713745
1542573321.9944286,5849,0.8369390964508057
